id,question
0,What does the starting position for push-ups look like in the app's reference image?
0,Can I modify push-ups to make them easier if I struggle with bodyweight strength?
0,Is there a specific hand placement for push-ups to target triceps more effectively?
1,What does the setup for a bodyweight squat look like without any equipment?
1,"Can I add resistance to squats if I don't have weights, and how?"
1,Is there a specific foot placement for squats to target the glutes more effectively?
1,How can I tell if I'm doing a squat with proper form just using my bodyweight?
1,What's the difference between a bodyweight squat and one performed with a barbell?
2,What does the starting position for a plank look like without any equipment?
2,"Can I do a plank on my hands instead of my forearms, or does it require a specific stance?"
2,Is there a way to modify the plank if I don’t have a mat or soft surface to hold it on?
3,What does the barbell used for deadlifts look like? Can you share an image link?
3,Is there a specific grip width I should use when holding the barbell for this exercise?
3,Should I keep the barbell close to my body throughout the entire deadlift movement?
4,What do dumbbells look like for bicep curls? Can you show me an image?
4,"Can I use a barbell instead of dumbbells for this exercise, and how would that change the movement?"
4,Should I keep my wrists straight or slightly bent when curling the dumbbells up?
4,How heavy should the dumbbells be for a beginner doing bicep curls?
4,Is it better to do bicep curls seated or standing for better form?
5,What does a kettlebell look like and where can I see an image of it?
5,"Can I perform kettlebell swings with a dumbbell instead, or is the kettlebell shape essential?"
5,How heavy should the kettlebell be for a beginner doing swings?
6,What do dumbbells look like for the Shoulder Press exercise? Can you share an image link?
6,"Can I use a barbell instead of dumbbells for the Shoulder Press, and how would that look?"
6,Is there a specific weight recommendation for dumbbells when doing the Shoulder Press for beginners?
7,What does a lat pulldown machine look like and where can I see a picture of it?
7,How wide should my grip be on the bar when doing lat pulldowns to target the lats effectively?
7,Can I perform lat pulldowns with free weights like dumbbells or a barbell instead of the machine?
8,What does the setup for this stretch look like if I don't have a bench or step?
8,Can I use a chair or couch instead of the equipment shown in the picture?
8,How high should the surface be for my foot to get the best hamstring stretch?
9,What does the equipment needed for Jumping Jacks look like?
9,"Can I do Jumping Jacks without any equipment, or do I need something specific?"
9,Is there a recommended surface or space to perform Jumping Jacks safely?
10,What does the barbell used for the Bench Press look like? Can you share an image link?
10,Is a flat bench the only type of equipment needed besides the barbell for this exercise?
10,How should I position my hands on the barbell to target the pectorals more effectively during the Bench Press?
11,What does the setup for bodyweight lunges look like without any equipment?
